"headword","pos","pos_number","CEFR","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_other","tag","proficiency","answer","last_check","last_check_string"
"against","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,-2,,,
"age","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"年齢",,
"aged","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"ageless","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"agency","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"agenda","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"agent","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"aggressive","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"aggressively","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"ago","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"agonise","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"agonize","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"agony","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"agree","verb",1,"A1",,"O",,,,,,,,,,,,,,,,-2,,,
"agreement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"agricultural","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"agriculture","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ahead","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"aid","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"aid","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"aim","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"aim","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"air","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"air conditioning","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"air force","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"aircraft","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"aircrew","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"airline","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"airplane","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"飛行機",,
"airport","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"空港",,
"aisle","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"alarm","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"alarm","verb",1,"B1",,"O",,,,,,,,,,,,,,,,,,,
"alarm clock","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"album","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"アルバム",,
"alcohol","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"alcoholic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"alcoholic","noun",0,"B2","O",,,,,,,,,,,,,,,,,,,,
"alcoholism","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"alert","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"alike","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"alike","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,,,,
"alive","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"all","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"all","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,,,,
"all","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,,,,
"all right","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"all right","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,,,,
"allegation","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"allergic","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"alliance","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"allow","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"allowance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ally","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"almost","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"alone","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"alone","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,,,,
"along","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"along","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,,,,
"alongside","preposition",3,"B2",,,,"O",,,,,,,,,,,,,,-2,,,
"aloud","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"alphabet","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"alphabetical","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"already","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"alright","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"alright","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,,,,
"also","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"altar","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"alter","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"alternate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"alternative","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"alternative","noun",0,"B1","O",,,,,,,,,,,,,,,,,,,,
"alternatively","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"although","conjunction",5,"A2",,,,,,"O",,,,,,,,,,,,-2,,,
"altitude","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"altogether","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"aluminium","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"aluminum","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"always","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"am","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"AM","adverb",4,"A1",,,,,"O",,,,,,,,,,,,,-2,,,
"am","be-verb",9,"A1",,,,,,,,,,"O",,,,,,,,-2,"[略]",,
"amaze","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"amazed","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"amazement","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"amazing","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"amazingly","adverb",4,"B2",,,,,"O",,,,,,,,,,,,,-2,,,
"ambassador","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ambiguity","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ambiguous","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"ambition","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"ambitious","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"ambulance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ammonia","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"among","preposition",3,"A2",,,,"O",,,,,,,,,,,,,,-2,,,
"amongst","preposition",3,"B2",,,,"O",,,,,,,,,,,,,,-2,,,
"amount","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ample","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"amplifier","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"amplify","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"amuse","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"amused","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"amusement","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"amusing","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"an","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,-2,,,
"analogy","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"analyse","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"analysis","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"analyst","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"analyze","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"ancestor","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"anchor","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"anchorage","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"anchorman","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"anchorperson","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"ancient","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"and","conjunction",5,"A1",,,,,,"O",,,,,,,,,,,,-2,,,
"angel","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"anger","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"angle","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"angrily","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"angry","adjective",2,"A1",,,"O",,,,,,,,,,,,,,,-2,,,
"anguish","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"animal","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"動物",,
"animate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"animated","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"animation","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"ankle","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"anniversary","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"announce","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"announcement","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"annoy","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"annoyance","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"annoyed","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"annoying","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"annual","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"annually","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"anonymous","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"another","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,-2,,,
"another","pronoun",6,"A2",,,,,,,"O",,,,,,,,,,,,,,
"answer","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"答え",,
"answer","verb",1,"A1",,"O",,,,,,,,,,,,,,,,,,,
"ant","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"anti","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"antiaircraft","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"antibacterial","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"anticancer","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"anticipate","verb",1,"B2",,"O",,,,,,,,,,,,,,,,-2,,,
"anticipation","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"antipollution","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"antique","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"antique","noun",0,"B1","O",,,,,,,,,,,,,,,,,,,,
"antistatic","adjective",2,"B2",,,"O",,,,,,,,,,,,,,,-2,,,
"antivirus","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"antonym","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"anxiety","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"anxious","adjective",2,"A2",,,"O",,,,,,,,,,,,,,,-2,,,
"anxiously","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"any","determiner",8,"A1",,,,,,,,,"O",,,,,,,,,-2,,,
"any","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,,,,
"anybody","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,-2,"誰でも",,
"anyhow","adverb",4,"B1",,,,,"O",,,,,,,,,,,,,-2,,,
"anymore","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"anyone","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,-2,"誰でも",,
"anything","pronoun",6,"A1",,,,,,,"O",,,,,,,,,,,-2,"どれでも",,
"anyway","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"anywhere","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"apart","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"apartment","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"ape","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"apologise","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"apologize","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"apology","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"apostrophe","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"apparent","adjective",2,"B1",,,"O",,,,,,,,,,,,,,,-2,,,
"apparently","adverb",4,"A2",,,,,"O",,,,,,,,,,,,,-2,,,
"appeal","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"appeal","verb",1,"B2",,"O",,,,,,,,,,,,,,,,,,,
"appear","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"appearance","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
"appetite","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"applaud","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"applause","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"apple","noun",0,"A1","O",,,,,,,,,,,,,,,,,-2,"りんご",,
"applicant","noun",0,"B2","O",,,,,,,,,,,,,,,,,-2,,,
"application","noun",0,"B1","O",,,,,,,,,,,,,,,,,-2,,,
"apply","verb",1,"A2",,"O",,,,,,,,,,,,,,,,-2,,,
"appoint","verb",1,"B1",,"O",,,,,,,,,,,,,,,,-2,,,
"appointment","noun",0,"A2","O",,,,,,,,,,,,,,,,,-2,,,
